,precision,recall,f1-score,support
apple,1.0,1.0,1.0,15.0
banana,1.0,1.0,1.0,15.0
blackgram,1.0,0.9333,0.9655,15.0
chickpea,1.0,1.0,1.0,15.0
coconut,1.0,1.0,1.0,15.0
coffee,1.0,1.0,1.0,15.0
cotton,1.0,1.0,1.0,15.0
grapes,1.0,1.0,1.0,15.0
jute,0.9375,1.0,0.9677,15.0
kidneybeans,1.0,1.0,1.0,15.0
lentil,1.0,1.0,1.0,15.0
maize,0.9375,1.0,0.9677,15.0
mango,1.0,1.0,1.0,15.0
mothbeans,1.0,1.0,1.0,15.0
mungbean,1.0,1.0,1.0,15.0
muskmelon,1.0,1.0,1.0,15.0
orange,1.0,1.0,1.0,15.0
papaya,1.0,1.0,1.0,15.0
pigeonpeas,1.0,1.0,1.0,15.0
pomegranate,1.0,1.0,1.0,15.0
rice,1.0,0.9333,0.9655,15.0
watermelon,1.0,1.0,1.0,15.0
accuracy,0.9939,0.9939,0.9939,0.9939
macro avg,0.9943,0.9939,0.9939,330.0
weighted avg,0.9943,0.9939,0.9939,330.0
