record_id,domain,condition,input_type,input_value,input_unit,replicate,time_step,signal,signal_unit,expected_signal,baseline_signal,voltage_v,current_a,stress_mpa,reference_stress_mpa,temperature_c,rolling_average_signal,normalized_signal,power_w,error_percent,stress_ratio,stability_flag,ml_ready
B007,Biochem,high_concentration,concentration,1.0,mM,1,1,0.98,absorbance,1.0,0.1,,,,,25,0.98,9.8,,-2.0,,stable,True
B008,Biochem,high_concentration,concentration,1.0,mM,2,2,1.02,absorbance,1.0,0.1,,,,,25,1.0,10.2,,2.0,,stable,True
B009,Biochem,high_concentration,concentration,1.0,mM,3,3,1.01,absorbance,1.0,0.1,,,,,25,1.003333,10.1,,1.0,,stable,True
B001,Biochem,low_concentration,concentration,0.1,mM,1,1,0.12,absorbance,0.12,0.1,,,,,25,0.12,1.2,,0.0,,moderate,True
B002,Biochem,low_concentration,concentration,0.1,mM,2,2,0.11,absorbance,0.12,0.1,,,,,25,0.115,1.1,,-8.3333,,moderate,True
B003,Biochem,low_concentration,concentration,0.1,mM,3,3,0.13,absorbance,0.12,0.1,,,,,25,0.12,1.3,,8.3333,,moderate,True
B004,Biochem,medium_concentration,concentration,0.5,mM,1,1,0.49,absorbance,0.5,0.1,,,,,25,0.49,4.9,,-2.0,,stable,True
B005,Biochem,medium_concentration,concentration,0.5,mM,2,2,0.52,absorbance,0.5,0.1,,,,,25,0.505,5.2,,4.0,,stable,True
B006,Biochem,medium_concentration,concentration,0.5,mM,3,3,0.51,absorbance,0.5,0.1,,,,,25,0.506667,5.1,,2.0,,stable,True
E007,Electronics,high_load,load,40.0,ohm,1,1,4.25,V,4.25,5.0,4.25,0.3,,,48,4.25,0.85,1.275,0.0,,stable,True
E008,Electronics,high_load,load,40.0,ohm,2,2,4.3,V,4.25,5.0,4.3,0.31,,,49,4.275,0.86,1.333,1.1765,,stable,True
E009,Electronics,high_load,load,40.0,ohm,3,3,4.1,V,4.25,5.0,4.1,0.35,,,50,4.216667,0.82,1.435,-3.5294,,stable,True
E001,Electronics,low_load,load,10.0,ohm,1,1,4.95,V,5.0,5.0,4.95,0.2,,,35,4.95,0.99,0.99,-1.0,,stable,True
E002,Electronics,low_load,load,10.0,ohm,2,2,4.9,V,5.0,5.0,4.9,0.21,,,36,4.925,0.98,1.029,-2.0,,stable,True
E003,Electronics,low_load,load,10.0,ohm,3,3,4.92,V,5.0,5.0,4.92,0.2,,,35,4.923333,0.984,0.984,-1.6,,stable,True
E004,Electronics,medium_load,load,20.0,ohm,1,1,4.7,V,4.7,5.0,4.7,0.24,,,40,4.7,0.94,1.128,0.0,,stable,True
E005,Electronics,medium_load,load,20.0,ohm,2,2,4.65,V,4.7,5.0,4.65,0.25,,,41,4.675,0.93,1.1625,-1.0638,,stable,True
E006,Electronics,medium_load,load,20.0,ohm,3,3,4.68,V,4.7,5.0,4.68,0.24,,,40,4.676667,0.936,1.1232,-0.4255,,stable,True
M007,Mechanical,high_load,load,150.0,N,1,1,1.75,mm,1.75,0.5,,,230.0,300.0,28,1.75,3.5,,0.0,0.766667,moderate,True
M008,Mechanical,high_load,load,150.0,N,2,2,1.8,mm,1.75,0.5,,,235.0,300.0,28,1.775,3.6,,2.8571,0.783333,moderate,True
M009,Mechanical,high_load,load,150.0,N,3,3,2.1,mm,1.75,0.5,,,270.0,300.0,28,1.883333,4.2,,20.0,0.9,moderate,True
M001,Mechanical,low_load,load,50.0,N,1,1,0.5,mm,0.5,0.5,,,80.0,100.0,28,0.5,1.0,,0.0,0.8,stable,True
M002,Mechanical,low_load,load,50.0,N,2,2,0.52,mm,0.5,0.5,,,82.0,100.0,28,0.51,1.04,,4.0,0.82,stable,True
M003,Mechanical,low_load,load,50.0,N,3,3,0.51,mm,0.5,0.5,,,81.0,100.0,28,0.51,1.02,,2.0,0.81,stable,True
M004,Mechanical,medium_load,load,100.0,N,1,1,1.1,mm,1.1,0.5,,,150.0,200.0,28,1.1,2.2,,0.0,0.75,stable,True
M005,Mechanical,medium_load,load,100.0,N,2,2,1.08,mm,1.1,0.5,,,148.0,200.0,28,1.09,2.16,,-1.8182,0.74,stable,True
M006,Mechanical,medium_load,load,100.0,N,3,3,1.11,mm,1.1,0.5,,,152.0,200.0,28,1.096667,2.22,,0.9091,0.76,stable,True
